x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
0.00040000000554119946,0.0004000001111121723,0.0004000001110654087,0.00039999756677180746,0.0003999975667790748,0.0003999975761639171,0.00039999753152914586,0.0003999976716324966,0.00039999767163241827,0.0003999976762652216
0.00040000001713246756,0.00040000034353998587,0.00040000034339628566,0.0003999924768515555,0.00039999247687409685,0.0003999925075360566,0.0003999923678870076,0.00039999280106392066,0.0003999928010635317,0.00039999281970172864
0.00040000003178976306,0.0004000006374471906,0.00040000063718208907,0.00039998604057212434,0.0003999860406140751,0.00039998610036730097,0.0003999858383852528,0.0003999866421579993,0.00039998664215702256,0.0003999866842366398
0.00040000004990167667,0.00040000100062582424,0.00040000100021150896,0.0003999780872975404,0.0003999780873635395,0.00039997818455324215,0.0003999777699164323,0.00039997903163235804,0.00039997903163052227,0.00039997910657931494
0.0004000000726312547,0.000400001456397371,0.00040000145579600997,0.0003999681063170298,0.0003999681064132243,0.0003999682509740808,0.0003999676443726762,0.000399969480785442,0.00039996948078249364,0.00039996959800347147
0.0004000001020813594,0.0004000020469285769,0.00040000204608422194,0.00039995517423129217,0.00039995517436655637,0.00039995537910710163,0.00039995452498024005,0.00039995710601211195,0.0003999571060078291,0.0003999572748592503
0.0004000001412706467,0.0004000028327497589,0.00040000283158045586,0.0003999379654965304,0.0003999379656836538,0.0003999382475378512,0.0003999370669962491,0.00039994063889335624,0.0003999406388875623,0.0003999408686634162
0.00040000019347594573,0.0004000038795681423,0.00040000387796370685,0.00039991504119508964,0.00039991504145111184,0.0003999154218312013,0.00039991381066184874,0.00039991870252233764,0.0003999187025149055,0.00039991900243939395
0.00040000026349205437,0.0004000052835293836,0.0004000052813383237,0.0003998842958336416,0.0003998842961818213,0.0003998848030528832,0.00039988261998779646,0.0003998892821432169,0.0003998892821340916,0.00039988966132927856
0.0004000003584918479,0.00040000718846454044,0.00040000718547356887,0.0003998425796563366,0.0003998425801292366,0.00039984325125926886,0.00039984029959689823,0.0003998493637416423,0.0003998493637308768,0.00039984983116600264
