x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399987,0.000399719,0.000402234,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400013,0.000400281,0.000397766,0.000402031
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399998,0.000399959,0.000399132,0.000413769,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400002,0.000400041,0.000400868,0.000386231,0.000413142
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399996,0.000399923,0.00039839,0.000436361,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400004,0.000400077,0.00040161,0.000363639,0.000435192
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399994,0.000399879,0.000397476,0.000470765,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400006,0.000400121,0.000402524,0.000329235,0.000468917
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399992,0.000399824,0.000396336,0.000517132,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400008,0.000400176,0.000403664,0.000282868,0.000514415
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399988,0.000399753,0.00039488,0.000575366,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400012,0.000400247,0.00040512,0.000224634,0.000571489
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399984,0.000399658,0.000393007,0.000645361,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400016,0.000400342,0.000406993,0.000154639,0.000639912
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.000399978,0.000399532,0.000390684,0.000727055,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400001,0.000400022,0.000400468,0.000409316,7.29E-05,0.000719525
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399999,0.00039997,0.000399362,0.000387878,0.000820354,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400001,0.00040003,0.000400638,0.000412122,-2.04E-05,0.00081018
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399998,0.000399959,0.000399132,0.000386185,0.000925194,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400002,0.000400041,0.000400868,0.000413815,-0.000125194,0.00091177
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399997,0.000399944,0.000398821,0.000389824,0.001035224,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400003,0.000400056,0.000401179,0.000410176,-0.000235224,0.001024234
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.000399996,0.000399924,0.000398402,0.000404934,0.001146374,0.0004,0.0004,0.0004,0.0004,0.0004,0.000400004,0.000400076,0.000401598,0.000395066,-0.000346374,0.00114753
