x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122
0.005531280092174126,0.009336613703045329,0.00652116054235946,0.0052850433610581475,0.0014528051085615282,0.01050775738063662,0.006948706364519352,0.01777747957426962,0.014021063062068488,0.002911244440211835,0.01944620384146952,0.022874256095460045,0.01874305348517662,0.015892287408680632,0.01573058832176447,0.007989189711616362,0.0064071774903058515,0.003343032546944662,-0.003690347185594978,-0.0038105380299851043,0.002258688097448677,-0.00584725191744213,0.005621988022096503,-0.0047964759249633305,-0.008902769683147243,0.004986833692872212,-0.008563722609361075,-0.007217988490082271,3.822833905080031e-6,-0.009174935881000481,-0.01631597006303068,0.002656502485347932,0.002216041534278487,-0.006996493852542757,0.002525480934371148,0.00363761907292763,0.0043739905930544245,-0.010844858800877316,-0.0009325912012552212,-0.0047943745203117925,-0.008178798094703706,-0.00817795396602328,-0.02174540802071902,-0.019914282108975785,-0.02331954840334903,-0.011967406810808505,-0.02461057334089373,-0.010248666432206165,-0.021379996385955252,-0.025433533457351245,-0.003918341414383258,-0.015382673326396203,-0.020536230520204677,-0.019684725701292215,-0.017825097326698108,-0.017537332792367907,-0.014475863663257293,-0.014261590654490891,-0.02440794491297751,-0.028513587021445935,-0.028315520567214824,-0.030157215983163746,-0.03429199230748555,-0.00777695116948606,-0.010034419350281414,-0.004943976689356703,-0.00477250936581265,-0.008607643078547689,-0.023557609990269027,-0.0227871357726239,-0.005827753735977892,0.002336967758681798,0.002486521348028219,-0.01200794888062194,-0.01691214805236118,-0.015239701025798915,-0.01107285570709012,-0.017083160337965288,-0.015453594416310097,-0.0163703761047907,-0.007931251943482518,-0.008164706578278056,-0.00321490209062391,-0.02117811310017506,-0.02117811310017506,-0.021458352408752403,-0.02511536811730032,-0.025062510731612465,-0.018150435490982244,-0.026444718841839743,-0.013261541394959534,-0.01515893088888026,-0.024017765412971195,-0.01836409993739071,-0.017296090874250762,-0.02143804917465209,-0.02701682718125797,-0.040089307533827195,-0.04087990848407047,-0.04159528650255842,0.0004,0.0004297522691919992,0.0012718723321554616,0.0023750756607436962,0.0034716634196429903,0.0045679315985011305,0.005664184555378599,0.006760436742274509,0.007856689582844871,0.008953306148704836,0.00995124727984368,0.0003702477308047901,-0.00047187233215478813,-0.0015750756607427832,-0.0026716634196407396,-0.003767931598499,-0.004864184555389151,-0.0059604367422798135,-0.007056689582844722,-0.008153306148705288,-0.00915124727987241,0.018148971599048814
0.005638717596891134,0.009689470205285152,0.006625330736232246,0.005532902939115855,0.0014894119471966574,0.010685824965249082,0.0068383409660904265,0.018094013684001924,0.014126467320919059,0.0026959190638289627,0.019830389475619842,0.023446950605523372,0.018917775893001074,0.015994385971301543,0.015905398037768623,0.007915760426807151,0.006512974434080548,0.0034860802303283197,-0.003945517941618641,-0.003883971153345687,0.002401837900495645,-0.006067133829652879,0.005614924572513604,-0.004868074237996293,-0.00915171929406001,0.005303673952782972,-0.008914456752055502,-0.007252567768817366,0.00022142957417115456,-0.009251344475430046,-0.016527776048501627,0.0026930053717917238,0.0024669159774251244,-0.007140739054870464,0.002521498168437317,0.003603011504850023,0.004515468360107408,-0.011168964898773566,-0.0008234467702160019,-0.004938520789339267,-0.008175908843896263,-0.008175209127827647,-0.022292444547436955,-0.020301131290612943,-0.02389327933545073,-0.012146679922258444,-0.025156070217705606,-0.010210398032265228,-0.021699605788141202,-0.02578460044964257,-0.003770566508355217,-0.01552545332012792,-0.02074991567638558,-0.019788403942756053,-0.017791973345255042,-0.017642666150307892,-0.014621801862724933,-0.014444373592069114,-0.02469133668250005,-0.028867370347605247,-0.028627155361363964,-0.03060608066384379,-0.03489282193180717,-0.007845622301519563,-0.010175695795483684,-0.004794835598286563,-0.004735968157348875,-0.008784168425018014,-0.024067421779507783,-0.023168186320504092,-0.005972131808518246,0.0024438798341833265,0.0025194305502896554,-0.012223446320082198,-0.017192323043642932,-0.015490459806785756,-0.011180102237784312,-0.01743579484523225,-0.01552527927732991,-0.016622459977045617,-0.008041771199294457,-0.008162121906644624,-0.0029642612892427775,-0.02145987369356837,-0.02145987369356837,-0.021670303177686565,-0.025502411519777453,-0.0254780829502483,-0.018325027713651604,-0.02679563150805773,-0.013257197864437702,-0.015226019633537131,-0.024466651936080972,-0.018576054946806978,-0.0173613629757345,-0.021506469150870622,-0.027432296152420956,-0.04084681008214462,-0.04163729980238548,-0.04234921642602635,0.0004,0.0004671215967376083,0.0013832892857758316,0.0024847904246129053,0.0035812929107944358,0.004677557015621265,0.005773809779018037,0.006870061956796867,0.007966314806071684,0.009062935574626188,0.010059839602060886,0.00033287840325912785,-0.0005832892857751462,-0.0016847904246119815,-0.0027812929107921555,-0.003877557015619105,-0.0049738097790287625,-0.006070061956802261,-0.007166314806071548,-0.008262935574626668,-0.009259839602090099,0.01836277946620371
0.005746155047300901,0.010052313428440015,0.006729524755344952,0.005791091671734191,0.0015367339246881633,0.010852512582849083,0.006728451526500296,0.018410931438307087,0.014232333176486704,0.00248106816159654,0.020204236886787578,0.024010114400770673,0.019081973935104184,0.01609694737516223,0.016069663314782,0.007853880430239744,0.00661834189952242,0.0036396861777389057,-0.004211013667728707,-0.003946703431889482,0.00255556499826931,-0.0062869911023208476,0.005608315048376869,-0.004928533979111366,-0.009411824906652363,0.005620046538578281,-0.009275170282020948,-0.007298695193545738,0.00043856283759114524,-0.009316255117624312,-0.01674001067491866,0.002741073619365545,0.0027281111334077524,-0.007296386705195378,0.002517967969450889,0.003557735635706621,0.004668003719126153,-0.011492621449876556,-0.0007147331773933673,-0.005093268809541496,-0.008173490674084865,-0.00817289104277568,-0.022848408173463976,-0.020677324768804652,-0.024457487802793713,-0.01231460162053231,-0.025710918355284617,-0.01016097148639789,-0.022019215135897045,-0.02614647691557333,-0.00361174668944861,-0.015679315012016613,-0.02096360200854614,-0.019892526747872393,-0.017748182669405917,-0.017748024656594145,-0.014778789354663922,-0.014615767236508176,-0.0249644486745797,-0.02923196827070145,-0.028939201400167633,-0.031065236171405917,-0.03549365056003623,-0.007903151306213428,-0.01032837973273359,-0.004635129446660351,-0.0046879082117283035,-0.008949291519730103,-0.024577211143160915,-0.023539290738846797,-0.006127085197368597,0.0025508157622473227,0.002563907974808356,-0.01243851498905903,-0.017462181496886116,-0.0157520081883267,-0.01128691932034473,-0.01779885980415268,-0.01558585274569626,-0.016884907724744297,-0.008151833988347044,-0.008159962727614052,-0.0027032826768056475,-0.021730918029974837,-0.021730918029974837,-0.02188269956397023,-0.025878775615131015,-0.025893631536812525,-0.018488598897105687,-0.02715732864774551,-0.013252880417676909,-0.01528240415157381,-0.024925097764131966,-0.01878841231580931,-0.017415517990207716,-0.021563775282293158,-0.027847742222835762,-0.04160395700647884,-0.042394347025556695,-0.043103129260643434,0.0004,0.0005156507546108128,0.0014942497015869576,0.0025944801287064697,0.003690921205627766,0.004787182375645403,0.005883434999932562,0.006979687171188982,0.008075940029291838,0.009172565000547096,0.01016843192427326,0.0002843492453858702,-0.000694249701586261,-0.0017944801287055358,-0.0028909212056254558,-0.003987182375643215,-0.005083434999943461,-0.006179687171194467,-0.007275940029291718,-0.008372565000547604,-0.009368431924302957,0.018576587333358357
0.005853592457850896,0.010425097840516227,0.006833736277404054,0.006059582544905813,0.001594759180174434,0.011007957640247206,0.006618944582089096,0.01872815629320382,0.014338567634078038,0.002266599760342302,0.02056780364429644,0.02456379984827842,0.019235618261385,0.016199878346283066,0.016223360136052276,0.0078033880163823725,0.006723360400445037,0.003803837351151436,-0.00448680185240517,-0.003998732016108324,0.0027198511211246968,-0.006506830320965568,0.005602070632432727,-0.004977962140844913,-0.009682891302455773,0.005936040910887934,-0.009645822371181495,-0.007356196948520284,0.0006553142992602986,-0.009369816362117424,-0.016952587665022743,0.002800528432532691,0.002999599585170064,-0.007463254496305904,0.0025148018486150117,0.0035017900747149238,0.004831458273932969,-0.011815912783934174,-0.000606369570635747,-0.005258592993097988,-0.008171449940724444,-0.008170918438745784,-0.02341322741027717,-0.021042950751454802,-0.02501222589245223,-0.012471302375060802,-0.02627494272749735,-0.010100510156610655,-0.022338824443704084,-0.02651894972519839,-0.003442020553103078,-0.015844113118810312,-0.021177289203628515,-0.019997005858023154,-0.01769372310290545,-0.01785340163714875,-0.014946687438945429,-0.0147759130367533,-0.025227242475343102,-0.029607162993291646,-0.029251574570905315,-0.03153446730052318,-0.036094478456534414,-0.0079496459578356,-0.010492289252937883,-0.004464876635417633,-0.004628496245576914,-0.00910315502028291,-0.025086984118642096,-0.023900404556159414,-0.006292595469282605,0.002657769213704718,0.002619775044415847,-0.012653234037216356,-0.017721692673677073,-0.01602420050760936,-0.011393387441624997,-0.0181721984193004,-0.015635414975190873,-0.017157678898422367,-0.008261528336322268,-0.0081581481184217,-0.002431998148577073,-0.021991317107602767,-0.021991317107602767,-0.022095450624794538,-0.02624455481569482,-0.026309162836294208,-0.01864124542338338,-0.027529603895979565,-0.013248582116041376,-0.015328082184495986,-0.02539303722208926,-0.01900109311721594,-0.01745865727859223,-0.02161006821040186,-0.02826317154368178,-0.042360810385945295,-0.04315110886449527,-0.043857029658990174,0.0004,0.0005752161779766112,0.0016048416139159188,0.00270415145448448,0.003800548622274729,0.004896807693762705,0.005993060218846953,0.0070893123854854165,0.008185565252506992,0.009282194426467574,0.010277024246481546,0.0002247838220200186,-0.0008048416139152107,-0.0019041514544835363,-0.003000548622272389,-0.00409680769376049,-0.0051930602188580265,-0.006289312385490994,-0.007385565252506885,-0.008482194426468111,-0.009477024246511728,0.01879039520051264
0.005961029838266106,0.010807786460771135,0.0069379610360989505,0.006338356380849717,0.0016634890253753125,0.011152271215444317,0.006509737204735095,0.019045622978856716,0.01444509094530643,0.002052430857898857,0.02092110909358167,0.025108037995692344,0.019378669866488233,0.01630309890356804,0.01636645313440221,0.007764150305237081,0.006828104424736442,0.003978529188222826,-0.004772859251218906,-0.004040040500150435,0.0028946881671397767,-0.006726655897666253,0.005596112677280091,-0.005016429661734157,-0.009964749149905897,0.006251739212486767,-0.010026379301244602,-0.0074249270891675505,0.0008717667882642312,-0.009412151701698637,-0.017165433445571154,0.002871220243625541,0.003281361731898063,-0.007641186103561158,0.0025119214126446306,0.003435164415610876,0.005005727445203727,-0.012138917784075425,-0.0004982812056130556,-0.005434480209839457,-0.008169704908346481,-0.008169217605506892,-0.023986837520120527,-0.021398075602807383,-0.025557524395466297,-0.012616888349433423,-0.026847991043830444,-0.010029102442408627,-0.022658433721309615,-0.026901833404358446,-0.0032614931514755017,-0.01601973801611258,-0.02139097705102099,-0.02010176459399521,-0.01762858362259444,-0.017958792588695465,-0.015125391084210859,-0.014924924712722522,-0.025479668165418357,-0.029992765591090095,-0.029564204617813915,-0.03201358392788601,-0.03669530579959543,-0.007985177907644258,-0.010667268426532091,-0.00428408564607383,-0.004557873314677074,-0.009245873785162766,-0.02559674472128156,-0.024251469570350005,-0.0064686543520360755,0.002764735917351173,0.0026868824925016127,-0.012867678169251292,-0.017970812008162546,-0.016306921188009464,-0.011499581088301467,-0.01855568174546582,-0.015674032005890903,-0.017440745008285748,-0.008370933645136653,-0.008156604597412919,-0.0021504303064834125,-0.022241105176872358,-0.022241105176872358,-0.022308479728154043,-0.026599819825873217,-0.026724681080149717,-0.01878302528985372,-0.02791227651202613,-0.013244298288787482,-0.01536303801893931,-0.025870414700766245,-0.019214028526828967,-0.01749084808118973,-0.021645414495011155,-0.028678588215635736,-0.04311743430754972,-0.04390764729503192,-0.04461092068059167,0.0004,0.0006457293684165298,0.0017151444402789537,0.002813808889308673,0.003910175374946623,0.005006432980197529,0.0061026854362491645,0.007198937599709504,0.00829519047571835,0.009391823852387723,0.010385616568686626,0.00015427063158004702,-0.0009151444402782341,-0.0020138088893077175,-0.0031101753749442546,-0.0042064329801952864,-0.005302685436260413,-0.006398937599715171,-0.00749519047571826,-0.008591823852388292,-0.009585616568717294,0.01900420306766664
