x1,x2,x4,x5,x7,x9,x11,x12,x14,x15,x17,x18,x20,x21,x22,x24,x25,x27
0.012935894,0.012935905,0.012957157,0.012957168,0.0129456,0.012945606,0.007069959,0.007069952,0.007094459,0.007094454,0.007082656,0.007082648,0.010094721,0.010094714,0.010119228,0.010119235,0.010106678,0.010106685
0.013440955,0.01344097,0.013466694,0.013466709,0.013453627,0.013453636,0.007071082,0.007071072,0.007100691,0.007100684,0.007085171,0.007085161,0.010358694,0.010358685,0.01038667,0.010386679,0.010372195,0.010372204
0.013955211,0.013955231,0.01397623,0.01397625,0.013965174,0.013965185,0.007072205,0.007072191,0.007096246,0.007096237,0.007082431,0.007082417,0.010628261,0.010628249,0.010649564,0.010649577,0.01063771,0.010637722
0.014478606,0.014478633,0.014476765,0.014476792,0.014477365,0.014477381,0.0070835,0.007083482,0.007081127,0.007081113,0.007078602,0.007078584,0.010908825,0.010908808,0.010901485,0.010901502,0.010903224,0.01090324
0.015011074,0.015011111,0.014967211,0.014967248,0.014989183,0.014989204,0.007106467,0.007106443,0.007055334,0.007055316,0.007075283,0.007075258,0.011200227,0.011200204,0.011142434,0.011142457,0.011168735,0.011168758
0.015552558,0.015552607,0.015447484,0.015447534,0.015500559,0.015500588,0.007141085,0.007141052,0.007018872,0.007018847,0.007072459,0.007072425,0.011502412,0.011502381,0.011372447,0.011372479,0.011434244,0.011434275
0.016103,0.016103067,0.015917593,0.015917661,0.016011504,0.016011543,0.007187256,0.007187212,0.006971744,0.00697171,0.007070098,0.007070053,0.011815247,0.011815206,0.0115916,0.011591643,0.01169975,0.011699791
0.016662334,0.016662424,0.016377638,0.01637773,0.016522109,0.016522161,0.007244779,0.007244719,0.006913956,0.00691391,0.007068097,0.007068036,0.012138565,0.012138509,0.011799987,0.011800045,0.011965252,0.011965308
0.017230493,0.017230615,0.016827694,0.016827821,0.017032449,0.01703252,0.007313492,0.00731341,0.006845514,0.006845452,0.007066374,0.007066292,0.012472234,0.012472158,0.011997668,0.011997748,0.012230748,0.012230824
0.017807423,0.017807587,0.017267814,0.017267989,0.017542584,0.01754268,0.007393274,0.007393162,0.006766427,0.006766343,0.007064871,0.00706476,0.012816156,0.012816051,0.012184682,0.012184791,0.012496237,0.012496341
0.018393051,0.018393272,0.017698036,0.017698276,0.01805257,0.018052699,0.007484004,0.007483851,0.006676703,0.006676589,0.007063531,0.007063381,0.01317023,0.013170088,0.012361054,0.012361204,0.012761716,0.012761857
0.018987308,0.018987606,0.018118369,0.018118698,0.018562441,0.018562616,0.007585601,0.007585392,0.006576353,0.006576198,0.007062316,0.007062114,0.013534384,0.01353419,0.01252679,0.012526997,0.013027182,0.013027373
0.019590137,0.019590539,0.018528808,0.018529258,0.019072219,0.019072455,0.007698014,0.007697729,0.006465387,0.006465178,0.007061205,0.007060932,0.013908566,0.013908302,0.012681889,0.012682173,0.013292631,0.013292889
0.020201463,0.020202004,0.018929331,0.018929948,0.019581922,0.019582241,0.007821193,0.007820804,0.006343819,0.006343536,0.007060181,0.007059813,0.014292721,0.014292361,0.012826338,0.012826727,0.013558055,0.013558405
0.020821213,0.020821943,0.0193199,0.019320748,0.020091556,0.020091987,0.00795511,0.007954579,0.006211663,0.00621128,0.007059237,0.007058738,0.014686804,0.014686314,0.012960113,0.012960646,0.013823446,0.013823921
