0,0,0,0,0,0,0,0,0,0
0.00096329,-0.006843,-0.005888,0.0027902,-0.005888,0.01025,0.042266,0.0027902,0.042266,-0.0024417
0.003855,-0.011859,-0.011877,0.0058569,-0.011877,0.020495,0.084238,0.0058569,0.084238,-0.0047676
0.0086808,-0.015045,-0.01797,0.0092022,-0.01797,0.030744,0.12594,0.0092022,0.12594,-0.0069755
0.01545,-0.016391,-0.02417,0.012829,-0.02417,0.041006,0.16738,0.012829,0.16738,-0.0090628
0.024175,-0.015886,-0.030481,0.01674,-0.030481,0.051289,0.20859,0.01674,0.20859,-0.011027
0.034874,-0.013514,-0.036908,0.020939,-0.036908,0.0616,0.24959,0.020939,0.24959,-0.012864
0.047566,-0.0092582,-0.043453,0.02543,-0.043453,0.071949,0.29039,0.02543,0.29039,-0.014573
0.062277,-0.0030948,-0.050121,0.030219,-0.050121,0.082344,0.33101,0.030219,0.33101,-0.016148
0.079034,0.0050017,-0.056917,0.035311,-0.056917,0.092794,0.37147,0.035311,0.37147,-0.017587
0.09787,0.015061,-0.063847,0.040711,-0.063847,0.10331,0.41179,0.040711,0.41179,-0.018886
0.11882,0.027116,-0.070913,0.046428,-0.070913,0.11389,0.45199,0.046428,0.45199,-0.02004
0.14193,0.041205,-0.078123,0.052467,-0.078123,0.12456,0.49207,0.052467,0.49207,-0.021045
0.16724,0.057368,-0.085482,0.058836,-0.085482,0.13532,0.53207,0.058836,0.53207,-0.021897
0.19479,0.07565,-0.092995,0.065545,-0.092995,0.14617,0.572,0.065545,0.572,-0.022591
0.22465,0.0961,-0.10067,0.072602,-0.10067,0.15714,0.61187,0.072602,0.61187,-0.023122
0.25687,0.11877,-0.10851,0.080017,-0.10851,0.16822,0.6517,0.080017,0.6517,-0.023484
0.29151,0.14372,-0.11653,0.087801,-0.11653,0.17943,0.69151,0.087801,0.69151,-0.023672
0.32864,0.17101,-0.12472,0.095964,-0.12472,0.19078,0.73131,0.095964,0.73131,-0.02368
0.36833,0.20071,-0.13311,0.10452,-0.13311,0.20227,0.77112,0.10452,0.77112,-0.023501
0.41066,0.23288,-0.14169,0.11348,-0.14169,0.21392,0.81095,0.11348,0.81095,-0.02313
0.45571,0.26761,-0.15048,0.12286,-0.15048,0.22574,0.85083,0.12286,0.85083,-0.022558
0.50356,0.30497,-0.15948,0.13266,-0.15948,0.23774,0.89076,0.13266,0.89076,-0.02178
0.55432,0.34505,-0.1687,0.14292,-0.1687,0.24992,0.93076,0.14292,0.93076,-0.020788
0.60807,0.38794,-0.17815,0.15364,-0.17815,0.2623,0.97085,0.15364,0.97085,-0.019573
0.66492,0.43373,-0.18784,0.16484,-0.18784,0.2749,1.011,0.16484,1.011,-0.018128
0.72499,0.48252,-0.19778,0.17653,-0.19778,0.28771,1.0513,0.17653,1.0513,-0.016445
0.78838,0.53443,-0.20799,0.18874,-0.20799,0.30075,1.0918,0.18874,1.0918,-0.014513
0.85522,0.58957,-0.21846,0.20148,-0.21846,0.31404,1.1323,0.20148,1.1323,-0.012325
0.92565,0.64805,-0.22922,0.21478,-0.22922,0.32759,1.1731,0.21478,1.1731,-0.0098706
