3,3,1,1,1
3.0019,3.0019,1,0.99841,1.0034
3.0078,3.0077,1,0.99864,1.0086
3.0175,3.0172,1,1.0007,1.0156
3.0313,3.0305,1,1.0046,1.0244
3.0492,3.0475,1,1.0104,1.0351
3.0711,3.0684,1,1.0181,1.0475
3.0974,3.0929,1,1.0277,1.0618
3.1279,3.1212,1,1.0393,1.0779
3.1628,3.1533,1,1.0529,1.0959
3.2023,3.1892,1,1.0685,1.1157
3.2464,3.2289,1,1.0861,1.1374
3.2952,3.2725,1,1.1059,1.1611
3.349,3.32,1,1.1279,1.1868
3.4078,3.3714,1,1.1521,1.2144
3.4718,3.4268,1,1.1786,1.244
3.5412,3.4863,1,1.2075,1.2758
3.6161,3.55,1,1.2388,1.3096
3.6968,3.6178,1,1.2726,1.3456
3.7834,3.69,1,1.309,1.3839
3.8761,3.7665,1,1.348,1.4244
3.9753,3.8476,1,1.3898,1.4672
4.081,3.9332,1,1.4345,1.5125
4.1937,4.0236,1,1.4822,1.5602
4.3135,4.1188,1,1.5329,1.6105
4.4407,4.2189,1,1.5869,1.6633
4.5757,4.3242,1,1.6441,1.7189
4.7188,4.4348,1,1.7049,1.7773
4.8702,4.5507,1,1.7692,1.8385
5.0304,4.6722,1,1.8372,1.9027
3,3,1,1,1
3.0019,3.0019,1,1.0028,0.99893
3.0076,3.0078,1,1.0075,0.99966
3.0171,3.0176,1,1.0138,1.0022
3.0303,3.0315,1,1.0219,1.0066
3.0471,3.0496,1,1.0318,1.0129
3.0676,3.0719,1,1.0434,1.021
3.0917,3.0986,1,1.0567,1.0311
3.1194,3.1297,1,1.0718,1.0432
3.1507,3.1654,1,1.0886,1.0573
3.1856,3.2059,1,1.1072,1.0735
3.2241,3.2512,1,1.1276,1.0918
3.2663,3.3015,1,1.1497,1.1123
3.312,3.357,1,1.1737,1.135
3.3614,3.4178,1,1.1995,1.1601
3.4145,3.4842,1,1.2272,1.1875
3.4713,3.5563,1,1.2568,1.2173
3.5318,3.6343,1,1.2883,1.2497
3.5962,3.7185,1,1.3218,1.2848
3.6644,3.8091,1,1.3572,1.3225
3.7365,3.9063,1,1.3947,1.3631
3.8126,4.0104,1,1.4343,1.4066
3.8927,4.1218,1,1.4761,1.4531
3.977,4.2406,1,1.52,1.5027
4.0654,4.3672,1,1.5661,1.5557
4.1582,4.5019,1,1.6146,1.612
4.2554,4.6452,1,1.6654,1.6719
4.3571,4.7972,1,1.7186,1.7355
4.4634,4.9585,1,1.7744,1.803
4.5744,5.1294,1,1.8327,1.8744
3,3,1,1,1
3.0019,3.0019,1,1.0189,0.98272
3.0078,3.0077,1,1.0394,0.96698
3.0175,3.0172,1,1.0616,0.95275
3.0313,3.0305,1,1.0855,0.93998
3.0491,3.0476,1,1.1113,0.92864
3.0711,3.0684,1,1.1389,0.91869
3.0973,3.093,1,1.1685,0.91011
3.1277,3.1214,1,1.2001,0.90287
3.1626,3.1535,1,1.2338,0.89694
3.202,3.1895,1,1.2696,0.89229
3.246,3.2293,1,1.3077,0.88892
3.2947,3.273,1,1.3481,0.88679
3.3483,3.3206,1,1.3909,0.88591
3.407,3.3722,1,1.4363,0.88624
3.4708,3.4278,1,1.4843,0.88779
3.54,3.4875,1,1.5351,0.89055
3.6146,3.5514,1,1.5887,0.89451
3.695,3.6195,1,1.6453,0.89966
3.7813,3.692,1,1.705,0.90601
3.8737,3.7689,1,1.768,0.91356
3.9725,3.8503,1,1.8344,0.9223
4.0778,3.9364,1,1.9043,0.93225
4.19,4.0273,1,1.9779,0.94342
4.3093,4.123,1,2.0553,0.95581
4.4359,4.2237,1,2.1369,0.96943
4.5702,4.3297,1,2.2226,0.98431
4.7126,4.4409,1,2.3128,1.0004
4.8632,4.5576,1,2.4075,1.0179
5.0226,4.68,1,2.5071,1.0366
3,3,1,1,1
3.0019,3.0019,1,0.98051,1.0213
3.0077,3.0077,1,0.9628,1.0444
3.0175,3.0173,1,0.94684,1.0695
3.0312,3.0306,1,0.93262,1.0964
3.0488,3.0479,1,0.9201,1.1253
3.0706,3.0689,1,0.90928,1.1562
3.0965,3.0938,1,0.90013,1.1892
3.1266,3.1225,1,0.89266,1.2243
3.161,3.1552,1,0.88685,1.2615
3.1997,3.1918,1,0.88269,1.301
3.243,3.2323,1,0.88019,1.3428
3.2908,3.2769,1,0.87935,1.387
3.3433,3.3256,1,0.88017,1.4336
3.4007,3.3785,1,0.88267,1.4828
3.463,3.4356,1,0.88685,1.5345
3.5305,3.497,1,0.89273,1.5889
3.6032,3.5629,1,0.90032,1.6462
3.6813,3.6332,1,0.90966,1.7063
3.7651,3.7082,1,0.92076,1.7694
3.8547,3.7879,1,0.93365,1.8356
3.9503,3.8724,1,0.94836,1.905
4.0521,3.962,1,0.96494,1.9777
4.1604,4.0567,1,0.98341,2.0539
4.2754,4.1567,1,1.0038,2.1337
4.3973,4.2621,1,1.0262,2.2172
4.5265,4.3732,1,1.0507,2.3045
4.6632,4.49,1,1.0772,2.3959
4.8076,4.6128,1,1.1059,2.4915
4.9602,4.7418,1,1.1369,2.5914
3,3,1,1,1
3.0019,3.0019,1,1.0092,0.99182
3.0078,3.0076,1,1.0195,0.98464
3.0177,3.017,1,1.031,0.97844
3.0316,3.0302,1,1.0436,0.97317
3.0498,3.0469,1,1.0574,0.9688
3.0723,3.0672,1,1.0725,0.9653
3.0992,3.0911,1,1.089,0.96264
3.1306,3.1185,1,1.1068,0.96079
3.1667,3.1495,1,1.1261,0.95973
3.2076,3.1839,1,1.1469,0.95944
3.2534,3.2219,1,1.1692,0.95988
3.3044,3.2633,1,1.1932,0.96105
3.3607,3.3082,1,1.2189,0.96291
3.4225,3.3567,1,1.2464,0.96545
3.49,3.4087,1,1.2758,0.96866
3.5634,3.4642,1,1.3072,0.97251
3.6429,3.5233,1,1.3406,0.97699
3.7287,3.586,1,1.3761,0.98209
3.8212,3.6523,1,1.414,0.98779
