3,3,1,1,1,1,0,0,0,1,0,0,0,1
3.0019,3.0019,1,0.99841,1.0034,0.99613,-0.0029073,0.001292,-0.0029073,1.0054,0.02125,0.001292,0.02125,0.99898
3.0078,3.0077,1,0.99864,1.0086,0.99229,-0.0057914,0.002516,-0.0057914,1.0112,0.04259,0.002516,0.04259,0.99841
3.0175,3.0172,1,1.0007,1.0156,0.98848,-0.0086539,0.0036724,-0.0086539,1.0176,0.064028,0.0036724,0.064028,0.9983
3.0313,3.0305,1,1.0046,1.0244,0.98469,-0.011496,0.0047619,-0.011496,1.0244,0.085575,0.0047619,0.085575,0.99864
3.0492,3.0475,1,1.0104,1.0351,0.98092,-0.014319,0.005785,-0.014319,1.0318,0.10724,0.005785,0.10724,0.99944
3.0711,3.0684,1,1.0181,1.0475,0.97718,-0.017125,0.0067421,-0.017125,1.0396,0.12904,0.0067421,0.12904,1.0007
3.0974,3.0929,1,1.0277,1.0618,0.97346,-0.019915,0.0076339,-0.019915,1.048,0.15098,0.0076339,0.15098,1.0024
3.1279,3.1212,1,1.0393,1.0779,0.96977,-0.02269,0.0084606,-0.02269,1.0569,0.17307,0.0084606,0.17307,1.0046
3.1628,3.1533,1,1.0529,1.0959,0.9661,-0.025451,0.0092228,-0.025451,1.0663,0.19532,0.0092228,0.19532,1.0073
3.2023,3.1892,1,1.0685,1.1157,0.96245,-0.0282,0.0099207,-0.0282,1.0763,0.21775,0.0099207,0.21775,1.0104
3.2464,3.2289,1,1.0861,1.1374,0.95882,-0.030939,0.010555,-0.030939,1.0868,0.24036,0.010555,0.24036,1.014
3.2952,3.2725,1,1.1059,1.1611,0.95522,-0.033669,0.011125,-0.033669,1.0978,0.26317,0.011125,0.26317,1.0181
3.349,3.32,1,1.1279,1.1868,0.95164,-0.03639,0.011633,-0.03639,1.1094,0.28619,0.011633,0.28619,1.0227
3.4078,3.3714,1,1.1521,1.2144,0.94808,-0.039105,0.012077,-0.039105,1.1215,0.30942,0.012077,0.30942,1.0277
3.4718,3.4268,1,1.1786,1.244,0.94455,-0.041815,0.012459,-0.041815,1.1343,0.33289,0.012459,0.33289,1.0333
3.5412,3.4863,1,1.2075,1.2758,0.94103,-0.04452,0.012778,-0.04452,1.1475,0.3566,0.012778,0.3566,1.0393
3.6161,3.55,1,1.2388,1.3096,0.93754,-0.047224,0.013034,-0.047224,1.1614,0.38056,0.013034,0.38056,1.0458
3.6968,3.6178,1,1.2726,1.3456,0.93407,-0.049926,0.013229,-0.049926,1.1759,0.40479,0.013229,0.40479,1.0529
3.7834,3.69,1,1.309,1.3839,0.93062,-0.052629,0.013361,-0.052629,1.1909,0.4293,0.013361,0.4293,1.0604
3.8761,3.7665,1,1.348,1.4244,0.9272,-0.055333,0.013432,-0.055333,1.2066,0.4541,0.013432,0.4541,1.0685
3.9753,3.8476,1,1.3898,1.4672,0.92379,-0.05804,0.01344,-0.05804,1.2229,0.47921,0.01344,0.47921,1.077
4.081,3.9332,1,1.4345,1.5125,0.92041,-0.060752,0.013386,-0.060752,1.2398,0.50463,0.013386,0.50463,1.0861
4.1937,4.0236,1,1.4822,1.5602,0.91704,-0.06347,0.013271,-0.06347,1.2574,0.53038,0.013271,0.53038,1.0958
4.3135,4.1188,1,1.5329,1.6105,0.9137,-0.066195,0.013093,-0.066195,1.2756,0.55648,0.013093,0.55648,1.1059
