x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67
0.021793752877986784,0.006939421035627011,0.022531302990909344,0.030741450175173556,-0.02100336193392913,0.017591757851458705,-0.024881717738879632,-0.023284419583099396,-0.03197906861905203,0.022793389284455182,0.014859770764098713,-0.01272535323952265,-0.011446099980049985,0.01614322079326076,0.012758038140611308,0.01757246070681906,0.02568633296801435,-0.026827749976104726,0.003189308646063851,-0.018182416749673205,-0.00942762390636286,0.022116248189549492,0.028571090783107905,0.03191953142471525,-0.014350044431959339,-0.018184907691539298,-0.016532373780460276,0.0022040437461336242,0.004285322830190318,-0.002030622798363657,0.001032960102013656,0.0069110291838723505,0.014393288024565716,-0.004138061650839265,-0.028980834463746177,-0.013722729730715658,0.016198660672833137,0.009146190051379954,0.020223317928628196,0.024039428765052162,0.01778075305975028,0.02126978552532336,-0.010387413578288728,0.0105109048350299,-0.010726432207769343,0.009448932087016275,0.00788462902633277,0.004830190067533051,-0.007889801403858896,0.015394214588240336,0.025003126398747584,0.008385003161111003,0.02267879853647321,-0.004148201109567615,0.017725067854842923,-0.001078091817428909,-0.013562948725680181,-0.019044827497436724,-0.014552382191924352,-0.01186386914349108,-0.023926386550859206,-0.004871043296829376,-0.007103382880579849,0.0029181417114719772,-0.023423669933810006,-0.014404739350315434,0.005829151255600716
0.021998162553804834,0.007262897887141644,0.023135422050427148,0.031273064754029106,-0.02123501406153341,0.017911841428889182,-0.02548714174680913,-0.02369493586119367,-0.03268148992548177,0.023302753246272793,0.01495989751988638,-0.012705420632907742,-0.011765009536243539,0.01658676254881948,0.012998789427900882,0.017890079521646427,0.026312146743261884,-0.02745281748550946,0.0029490235866626922,-0.01859421426075286,-0.009341000594603945,0.022611732098820267,0.029153695753682252,0.032603785771996796,-0.01477338707641571,-0.01837361891620887,-0.01687124659930241,0.0023372066510930368,0.004391122431054117,-0.002217102903153861,0.0008144397936470916,0.007205374462447195,0.01439276426514098,-0.004054266365698174,-0.029514151375961705,-0.014067652007199649,0.016617515776674512,0.00914774711831861,0.02066300227639538,0.024554251516944917,0.01821574581982596,0.02170996083039781,-0.01073243364590787,0.01072629029067451,-0.010938527198896692,0.009664594215016678,0.007879089337430029,0.005151334457595375,-0.007971170945726086,0.015686446312811533,0.02553863676004466,0.008600280598365434,0.022995044187306784,-0.0043546264805770655,0.017910088922322303,-0.0009693288998295566,-0.013904430671934373,-0.01925459943576031,-0.014871087429245373,-0.012076505752981777,-0.02453232207615717,-0.005185548456206464,-0.007081752073203561,0.003104679484200147,-0.023943891934241058,-0.014847877965631123,0.0058561832583739004
0.022202817982524322,0.007585921570493095,0.023739322227526474,0.031814497265301334,-0.021478134831450186,0.0182321333990476,-0.026092155758536857,-0.02410568014216683,-0.033391506360160514,0.02381192375955592,0.015060452313125024,-0.01267462995624473,-0.012083699190144665,0.017040025789795944,0.013250785775922147,0.018207937406881477,0.026946572676987746,-0.028086214523772236,0.002698366225684156,-0.01900660892008761,-0.009266161864296518,0.02309672999416254,0.029726479550515026,0.033287660353330056,-0.015196292291739308,-0.018551304113643436,-0.017220903221076497,0.002481668248010141,0.004496716215722535,-0.0023924856593723095,0.0005961872947546803,0.007488579283325746,0.014392516362243922,-0.003982110593656351,-0.030057006985144175,-0.014422602455875165,0.01703616289843967,0.00914912736406877,0.02111240803415874,0.025068637062339895,0.018661519411554,0.022160886783658545,-0.011087855989461659,0.010941858105091656,-0.011151263012284111,0.009880256271092248,0.007874016618700002,0.005472218100953746,-0.008041680356349203,0.015967695049245778,0.026083332002377425,0.008815769041147387,0.023311291228141573,-0.004561261850117771,0.018083863121453138,-0.0008610559859580976,-0.014256095404243023,-0.019464204178724805,-0.01518931726791012,-0.012289557733456595,-0.02513803914400809,-0.005499832182618775,-0.00704853792867734,0.00327973845894861,-0.024463697892771454,-0.015300923000058286,0.0058948884526005595
0.022407630440685538,0.007908508911824395,0.02434306706042661,0.032365599879107934,-0.021732657631625893,0.018552696199346852,-0.026696768074613297,-0.02451656613697851,-0.034109041642887014,0.02432086244013764,0.015161412184464549,-0.01263292064705499,-0.012402123005788126,0.017503008152882426,0.013513911318760652,0.01852608970303231,0.027589629224769444,-0.028727872171171905,0.0024373678033401697,-0.019419631450614355,-0.00920308723109093,0.023571146876023127,0.030289334488193414,0.033971158691861576,-0.015618772560411087,-0.01871803843218105,-0.01758125618802443,0.0026373793894805923,0.004602045128725491,-0.0025568609814893063,0.0003781158812248615,0.007760693800129263,0.014392451243824895,-0.003921610771668614,-0.030609255583693484,-0.014787538683326872,0.017454559858775223,0.00915026207122972,0.02157153876206395,0.025582598652316844,0.019118035046638872,0.022622523695157513,-0.011453743124886185,0.01115767783511477,-0.011364676566756974,0.010095918272378586,0.007869382719126381,0.005792923493507408,-0.008101263340811035,0.016237969512711517,0.02663718784557631,0.009031531272790695,0.023627539327358765,-0.004768027388242531,0.01824640652451383,-0.0007532427082090449,-0.014617960492007398,-0.019673577739219798,-0.015507094236703647,-0.012502999251838402,-0.025743601121772923,-0.005813848640558213,-0.007003826692660694,0.0034432901642183415,-0.024983095684982488,-0.015763927145897635,0.005945270322437334
0.022612429655753448,0.008230748822176934,0.024946811847156018,0.03292614524214875,-0.021998456424982573,0.018873617566323563,-0.027301058056607926,-0.02492743899887683,-0.034834005168390914,0.024829507567553574,0.015262691922291708,-0.01258019880812336,-0.012720209276374246,0.01797572577318706,0.013787958661163597,0.0188446177385156,0.0282413535956547,-0.02937770863377964,0.002166065087138888,-0.019833290269638346,-0.009151697966230022,0.024034920759113197,0.030842182601187394,0.03465435370688628,-0.01604091316301744,-0.01887391746472435,-0.017952214147616368,0.002804294663147469,0.004707023774677523,-0.0027103385836981316,0.00016004399170979993,0.008021858106740012,0.014392386206058027,-0.003872811891973564,-0.03117071365196297,-0.015162410833690297,0.01787263980848862,0.00915105676101446,0.022040416082571044,0.02609622153965844,0.01958520941617192,0.023094787414742978,-0.011830193330922837,0.0113738443399675,-0.01157877315083769,0.01031158023434285,0.007865094449954283,0.006113628810425398,-0.008149816901453654,0.016497258050829775,0.027200194854001374,0.009247656088243518,0.023943788185884322,-0.004974760673448121,0.018397719007337807,-0.0006457913099010516,-0.014990065789126497,-0.01988263099659565,-0.015824512187580148,-0.012716747085713914,-0.026349163075514142,-0.006127526157949344,-0.0069477991925236396,0.003595273715113441,-0.025502165845564456,-0.0162369731033444,0.006007356439840468
0.022817043590838363,0.008552725362930499,0.025550711875960346,0.033495923409303366,-0.02227545104100066,0.01919499173690298,-0.027905103929411458,-0.02533814217573968,-0.035566306590405064,0.025337779024295976,0.015364214601736694,-0.012516345233230102,-0.013037869283915086,0.018458220940394496,0.014072737083007858,0.019163611380421726,0.028901791108788866,-0.030035642353597906,0.0018844947290375961,-0.02024761017832454,-0.00911195949835142,0.024487955857760108,0.031384914146527464,0.03533731895783783,-0.016462796232963567,-0.019019013068177226,-0.018333735683183788,0.0029824177973999805,0.00481155408369572,-0.0028530006735105738,-5.8210010933131245e-5,0.008272197019956063,0.01439213854084031,-0.0038358066813734956,-0.031741215722270066,-0.015547169418909235,0.018290318045636706,0.009151407797393958,0.022519086286393566,0.026609587975325616,0.020062989837173303,0.023577624326453,-0.012217320277985558,0.01159045874317424,-0.01179357564245955,0.01052724216763101,0.00786106806698481,0.00643451222277552,-0.008187211522955163,0.016745497156544976,0.027772371015373772,0.009464240471817134,0.024260037598036407,-0.005181294868079452,0.01853774929140126,-0.0005386137396788452,-0.01537247654406673,-0.020091263065980827,-0.016141658406406356,-0.012930727548876872,-0.02695488006460223,-0.006440776021584272,-0.006880621149725961,0.0037355794634310216,-0.026020987544586514,-0.016720155506044717,0.00608122041890686
0.023021379723728037,0.00887449853581501,0.026154830658635667,0.03407477942817393,-0.022563595633247724,0.01951684154382556,-0.028508962465539033,-0.025748585712365886,-0.03630587023642376,0.025845633555722558,0.01546592643497971,-0.01244126445375392,-0.01335506295255962,0.018950529029991673,0.014368108482764711,0.0194830907338982,0.029570916538553156,-0.030701604969288945,0.0015926876742677703,-0.020662564671661814,-0.009083861032441912,0.02493019996557647,0.03191746167830558,0.036020108269267034,-0.016884480804845392,-0.019153368930167947,-0.01872580457684528,0.00317176713799991,0.004915598277017832,-0.002984897723085872,-0.0002767330145802257,0.008511795385512447,0.014391615163207985,-0.003810630477822972,-0.032320640419002185,-0.015941772886262976,0.018707552680425774,0.009151277404310543,0.023007587402249407,0.027122757190510383,0.020551287485746424,0.02407094485445334,-0.012615152539972002,0.011807550831034503,-0.012009059601528139,0.01074290407900217,0.007857244986148903,0.006755656216722305,-0.00821334307148255,0.016982621445715176,0.028353733262473167,0.009681311585740062,0.02457628743328972,-0.00538754062765631,0.018666441678997305,-0.0004316482586392304,-0.015765245790390965,-0.0202994305243483,-0.016458594883432882,-0.013144889539661291,-0.027560815436604262,-0.00675355834339938,-0.006802410512974569,0.003864155405437909,-0.026539618115380446,-0.017213486844208252,0.006166879410968038
0.02322532137895446,0.009196123776427114,0.026759156064414116,0.034662556633351244,-0.02286282186246347,0.01983915301457978,-0.029112686049935336,-0.026158629978439235,-0.03705260880867241,0.026352963043600502,0.015567777604017511,-0.01235490843438204,-0.01367170843198267,0.019452671630305254,0.014673937527025368,0.019803039692634226,0.030248623386742567,-0.03137551752221941,0.0012906800932840966,-0.021078081707192525,-0.009067346599497794,0.025361618160076763,0.032439767502176524,0.03670277131600122,-0.017306021430383046,-0.01927702025112593,-0.019128390966864202,0.003372330408342331,0.005019103082340417,-0.0031060710827102837,-0.0004955836291289787,0.008740727900407266,0.014390724401690301,-0.003797273099767012,-0.0329088652612572,-0.016346172999103955,0.019124247910073045,0.009150625384682093,0.023505943070645425,0.02763578382852726,0.021049943718750238,0.024574589451659506,-0.01302364424627375,0.01202512620923991,-0.01222518008691456,0.010958565974433397,0.007853571103546701,0.007077102361414371,-0.008228161190389835,0.017208623610146304,0.028944293798582495,0.009898872697769375,0.024892537576246956,-0.0055933838431409645,0.01878379250673671,-0.00032483794202998773,-0.0161684035946806,-0.020507062061754903,-0.016775378787664448,-0.013359185729449555,-0.02816695667461517,-0.0070657919864359825,-0.0067132794814631054,0.003980988803046229,-0.027058110548078572,-0.017716901827859826,0.006264298895640696
0.023430518273301372,0.009517642799009842,0.02736287058033795,0.035259114917654065,-0.023173028914264378,0.02016064131683989,-0.0297163138455671,-0.026569961735282373,-0.037806429225786795,0.02686147673515164,0.015669730274513415,-0.012257235000416424,-0.013989524669530939,0.01996455790199986,0.014990109496813784,0.020122168573309215,0.030934079385614106,-0.032057295688981684,0.0009785112144091294,-0.02149296291568281,-0.009062408843652815,0.025783801310188606,0.03295338037996597,0.03738534515703712,-0.017727459084840472,-0.01938998819230272,-0.01954139699821037,0.0035840777050704744,0.005123715419371281,-0.00321654658292399,-0.0007134061716251078,0.008959045287060097,0.014391007491733797,-0.00379419629542563,-0.03350577912264315,-0.01676031787642307,0.019542127214029478,0.009151035059331587,0.024014064987110107,0.028148708823374346,0.021557787653904446,0.025087393686827733,-0.013441592371583445,0.012241784950111446,-0.012440494262441145,0.011174227858331892,0.007850005485831764,0.007397609257881468,-0.008231595155617303,0.01742340728205335,0.029543929925580262,0.010115522018537637,0.025208787941838697,-0.005800477107704532,0.018889736043022198,-0.0002181398413196634,-0.016581892925759033,-0.020715846399577853,-0.017092053100782392,-0.013573580088917224,-0.028772489625962495,-0.007379195323197865,-0.006613318027953974,0.004087647404068892,-0.027576504568544765,-0.018229308722765424,0.006371990377387708
0.023641353945082804,0.009839082492263172,0.027963500228337913,0.03586434543478603,-0.023487754660012183,0.02047777417250103,-0.030319870824972214,-0.026986977273974977,-0.03856724892427145,0.02737552468688734,0.015771759702201484,-0.012154528701724445,-0.01431295755355566,0.02047994262476056,0.015316539678320482,0.020436936951905616,0.03161953129317558,-0.03274686457043059,0.0006562163479569855,-0.021903938233801806,-0.00906288380555314,0.026205858825564317,0.03346687509011574,0.038067853326299014,-0.018148820088705223,-0.019492283289601366,-0.019958429433651618,0.003800595752614435,0.005233772258536284,-0.0033163378541281965,-0.0009264315261468968,0.009166775763102016,0.014396644063892983,-0.00379117913313105,-0.034111293629492744,-0.017184161129423565,0.019965611672696573,0.009156717072565108,0.024525702227744733,0.028661558379708393,0.02206575132934995,0.025600317300204387,-0.013859538492806344,0.012453724052493403,-0.012651165407283727,0.011389889733545487,0.007846521475728029,0.007713673894753307,-0.008229766820156383,0.017632568671449494,0.030146585974146458,0.010327455183983156,0.02552503847510079,-0.006013206590236963,0.018990183691351463,-0.00011152608576660853,-0.016999343379035227,-0.02093019716008856,-0.017408645531613372,-0.013788048952493479,-0.02937494865664167,-0.00769821420607245,-0.006502588806298839,0.00419424731541958,-0.028094825599247635,-0.01874171108100101,0.006479741760171247
