x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.000397459,0.00039746,0.00039746,0.00039746,0.00039746,0.00039746,0.00039746,0.00039746,0.00039746,0.00039746,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397482,0.000397483,0.000397483,0.000397483,0.000397483,0.000397483,0.000397483,0.000397969,0.000397969,0.000397969,0.000397968,0.000397968,0.000397969,0.000397969,0.000397969,0.000397969,0.000397969,0.000397969,0.000397969,0.000397969,0.000397969,0.000397969,0.000397969,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397955,0.000397956,0.000397956,0.000397956,0.000397956,0.000397956,0.000397956,0.000397956,0.000397956,0.000397956,0.000397956,0.000397956,0.000397978,0.000397978,0.000397978,0.000397978,0.000397978,0.000397978,0.000397978,0.000397978,0.000397978,0.000397979,0.000397979,0.000397979,0.000397979,0.000397979
0.000385285,0.000385285,0.000385285,0.000385285,0.000385285,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385284,0.000385287,0.000385287,0.000385287,0.000385287,0.000385287,0.000385287,0.000385287,0.000385287,0.000385287,0.000385357,0.000385357,0.000385357,0.000385357,0.000385355,0.000385355,0.000385355,0.000385355,0.000385355,0.000385355,0.000385355,0.000385355,0.000385355,0.000385355,0.000385359,0.000385359,0.000385359,0.000385359,0.000385359,0.000385359,0.000386858,0.000386858,0.000386859,0.000386857,0.000386857,0.00038686,0.00038686,0.00038686,0.00038686,0.00038686,0.00038686,0.00038686,0.00038686,0.00038686,0.00038686,0.00038686,0.000386817,0.000386817,0.000386817,0.000386817,0.000386817,0.000386817,0.000386817,0.000386815,0.000386815,0.000386815,0.000386815,0.000386815,0.000386819,0.000386819,0.000386819,0.000386819,0.000386819,0.000386818,0.000386818,0.000386818,0.000386819,0.000386819,0.000386819,0.000386888,0.000386888,0.000386888,0.000386888,0.000386886,0.000386886,0.000386886,0.000386886,0.000386886,0.00038689,0.00038689,0.00038689,0.00038689,0.00038689
0.000361894,0.000361894,0.000361894,0.000361894,0.000361894,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361891,0.000361897,0.000361897,0.000361897,0.000361897,0.000361897,0.000361898,0.000361898,0.000361898,0.000361898,0.000362027,0.000362027,0.000362028,0.000362028,0.000362024,0.000362024,0.000362024,0.000362024,0.000362024,0.000362024,0.000362024,0.000362024,0.000362024,0.000362024,0.00036203,0.00036203,0.00036203,0.00036203,0.00036203,0.00036203,0.000364807,0.000364808,0.000364808,0.000364804,0.000364804,0.000364811,0.000364811,0.000364811,0.000364811,0.000364811,0.000364811,0.000364811,0.000364811,0.000364811,0.000364811,0.000364811,0.00036473,0.00036473,0.00036473,0.00036473,0.00036473,0.00036473,0.00036473,0.000364727,0.000364727,0.000364727,0.000364728,0.000364728,0.000364734,0.000364734,0.000364734,0.000364734,0.000364734,0.000364733,0.000364733,0.000364733,0.000364734,0.000364734,0.000364734,0.000364863,0.000364863,0.000364863,0.000364863,0.000364859,0.000364859,0.000364859,0.000364859,0.000364859,0.000364865,0.000364865,0.000364865,0.000364865,0.000364865
0.000326518,0.000326518,0.000326518,0.000326518,0.000326518,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326514,0.000326524,0.000326524,0.000326524,0.000326524,0.000326524,0.000326524,0.000326524,0.000326524,0.000326524,0.000326728,0.000326728,0.000326729,0.000326729,0.000326722,0.000326722,0.000326722,0.000326722,0.000326722,0.000326722,0.000326723,0.000326723,0.000326723,0.000326723,0.000326732,0.000326732,0.000326732,0.000326732,0.000326732,0.000326732,0.000331083,0.000331083,0.000331083,0.000331077,0.000331077,0.000331088,0.000331088,0.000331088,0.000331088,0.000331088,0.000331088,0.000331088,0.000331088,0.000331088,0.000331088,0.000331088,0.00033096,0.00033096,0.00033096,0.00033096,0.00033096,0.000330961,0.000330961,0.000330957,0.000330957,0.000330957,0.000330957,0.000330957,0.000330966,0.000330966,0.000330966,0.000330966,0.000330966,0.000330966,0.000330966,0.000330966,0.000330967,0.000330967,0.000330967,0.000331169,0.000331169,0.000331169,0.000331169,0.000331163,0.000331163,0.000331163,0.000331163,0.000331164,0.000331173,0.000331173,0.000331173,0.000331173,0.000331173
0.000278959,0.000278959,0.000278959,0.000278959,0.000278959,0.000278952,0.000278952,0.000278952,0.000278952,0.000278952,0.000278952,0.000278952,0.000278952,0.000278952,0.000278952,0.000278952,0.000278953,0.000278953,0.000278967,0.000278967,0.000278967,0.000278967,0.000278966,0.000278967,0.000278967,0.000278967,0.000278967,0.000279265,0.000279264,0.000279265,0.000279265,0.000279256,0.000279256,0.000279256,0.000279256,0.000279256,0.000279256,0.000279257,0.000279257,0.000279257,0.000279257,0.00027927,0.00027927,0.00027927,0.00027927,0.00027927,0.000279271,0.000285585,0.000285585,0.000285586,0.000285577,0.000285578,0.000285594,0.000285594,0.000285594,0.000285594,0.000285593,0.000285593,0.000285593,0.000285594,0.000285594,0.000285594,0.000285594,0.000285407,0.000285407,0.000285407,0.000285407,0.000285407,0.000285408,0.000285408,0.000285402,0.000285401,0.000285401,0.000285402,0.000285402,0.000285416,0.000285416,0.000285416,0.000285416,0.000285416,0.000285415,0.000285415,0.000285415,0.000285416,0.000285416,0.000285416,0.000285711,0.000285711,0.000285711,0.000285712,0.000285703,0.000285703,0.000285703,0.000285703,0.000285703,0.000285717,0.000285717,0.000285717,0.000285717,0.000285717
0.000219237,0.000219237,0.000219237,0.000219237,0.000219237,0.000219228,0.000219228,0.000219228,0.000219228,0.000219228,0.000219228,0.000219228,0.000219228,0.000219228,0.000219228,0.000219228,0.000219229,0.000219229,0.000219248,0.000219248,0.000219248,0.000219248,0.000219248,0.000219249,0.000219249,0.000219249,0.000219249,0.000219668,0.000219668,0.000219669,0.000219669,0.000219656,0.000219656,0.000219657,0.000219656,0.000219656,0.000219656,0.000219657,0.000219657,0.000219657,0.000219657,0.000219677,0.000219677,0.000219677,0.000219677,0.000219676,0.000219677,0.000228511,0.000228511,0.000228512,0.0002285,0.000228501,0.000228523,0.000228523,0.000228523,0.000228523,0.000228522,0.000228522,0.000228522,0.000228523,0.000228523,0.000228523,0.000228523,0.000228259,0.000228259,0.000228259,0.000228259,0.000228259,0.00022826,0.00022826,0.000228252,0.000228251,0.000228251,0.000228252,0.000228252,0.000228272,0.000228272,0.000228272,0.000228272,0.000228272,0.000228271,0.000228271,0.000228271,0.000228272,0.000228272,0.000228272,0.000228689,0.000228689,0.000228688,0.000228689,0.000228677,0.000228677,0.000228677,0.000228677,0.000228678,0.000228697,0.000228696,0.000228697,0.000228697,0.000228697
0.000147385,0.000147385,0.000147385,0.000147385,0.000147385,0.000147372,0.000147372,0.000147372,0.000147372,0.000147372,0.000147372,0.000147372,0.000147372,0.000147372,0.000147372,0.000147372,0.000147373,0.000147373,0.0001474,0.0001474,0.0001474,0.0001474,0.000147399,0.000147401,0.000147401,0.000147401,0.000147401,0.000147984,0.000147983,0.000147985,0.000147985,0.000147967,0.000147967,0.000147968,0.000147967,0.000147967,0.000147967,0.000147968,0.000147968,0.000147968,0.000147968,0.000147995,0.000147996,0.000147996,0.000147996,0.000147995,0.000147996,0.000160088,0.000160088,0.000160088,0.000160072,0.000160073,0.000160104,0.000160104,0.000160104,0.000160104,0.000160103,0.000160103,0.000160103,0.000160104,0.000160104,0.000160104,0.000160104,0.000159736,0.000159736,0.000159736,0.000159736,0.000159736,0.000159738,0.000159738,0.000159726,0.000159725,0.000159725,0.000159726,0.000159726,0.000159754,0.000159753,0.000159753,0.000159754,0.000159754,0.000159753,0.000159753,0.000159753,0.000159754,0.000159754,0.000159754,0.000160334,0.000160334,0.000160333,0.000160335,0.000160318,0.000160318,0.000160318,0.000160317,0.000160318,0.000160345,0.000160345,0.000160346,0.000160346,0.000160346
6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.34E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.35E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,6.43E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.05E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.00E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05,8.08E-05
-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.24E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-3.13E-05,-1.02E-05,-1.02E-05,-1.02E-05,-1.02E-05,-1.02E-05,-1.01E-05,-1.01E-05,-1.01E-05,-1.01E-05,-1.02E-05,-1.02E-05,-1.02E-05,-1.01E-05,-1.01E-05,-1.01E-05,-1.01E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.09E-05,-1.09E-05,-1.09E-05,-1.09E-05,-1.09E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-1.08E-05,-9.72E-06,-9.72E-06,-9.72E-06,-9.71E-06,-9.75E-06,-9.75E-06,-9.75E-06,-9.75E-06,-9.74E-06,-9.69E-06,-9.69E-06,-9.69E-06,-9.69E-06,-9.69E-06
